From Currency|To Currency|Conversion Date|Conversion Rate|Conversion Type|User Conversion Type
USD|CHF|2021-03-20|0.929281665|300000007815001|MRC Daily
USD|CHF|2021-03-21|0.929281665|300000007815001|MRC Daily
CZK|INR|2021-03-15|3.3113|300000007815001|MRC Daily
CZK|INR|2021-03-16|3.3113|300000007815001|MRC Daily
CZK|INR|2021-03-17|3.3113|300000007815001|MRC Daily
CZK|INR|2021-03-18|3.3113|300000007815001|MRC Daily
CZK|INR|2021-03-19|3.3113|300000007815001|MRC Daily
CZK|INR|2021-03-20|3.3113|300000007815001|MRC Daily
CZK|INR|2021-03-21|3.3113|300000007815001|MRC Daily
CZK|GBP|2021-03-15|0.03268|300000007815001|MRC Daily
CZK|GBP|2021-03-16|0.03268|300000007815001|MRC Daily
CZK|GBP|2021-03-17|0.03268|300000007815001|MRC Daily
CZK|GBP|2021-03-18|0.03268|300000007815001|MRC Daily
CZK|GBP|2021-03-19|0.03268|300000007815001|MRC Daily
CZK|GBP|2021-03-20|0.03268|300000007815001|MRC Daily
CZK|GBP|2021-03-21|0.03268|300000007815001|MRC Daily
BDT|INR|2021-03-15|0.8419|300000007815001|MRC Daily
BDT|INR|2021-03-17|0.8419|300000007815001|MRC Daily
BDT|INR|2021-03-18|0.8419|300000007815001|MRC Daily
BDT|INR|2021-03-19|0.8419|300000007815001|MRC Daily
BDT|INR|2021-03-20|0.8419|300000007815001|MRC Daily
BDT|INR|2021-03-21|0.8419|300000007815001|MRC Daily
THB|INR|2021-02-08|2.4084|300000007815001|MRC Daily
USD|JPY|2021-02-15|105.03|300000007815001|MRC Daily
USD|JPY|2021-02-16|105.03|300000007815001|MRC Daily
USD|JPY|2021-02-17|105.03|300000007815001|MRC Daily
USD|JPY|2021-02-18|105.03|300000007815001|MRC Daily
USD|JPY|2021-02-19|105.03|300000007815001|MRC Daily
USD|JPY|2021-02-20|105.03|300000007815001|MRC Daily
USD|JPY|2021-02-21|105.03|300000007815001|MRC Daily
USD|CNY|2021-02-15|6.471248797|300000007815001|MRC Daily
USD|CNY|2021-02-16|6.471248797|300000007815001|MRC Daily
USD|CNY|2021-02-17|6.471248797|300000007815001|MRC Daily
USD|CNY|2021-02-18|6.471248797|300000007815001|MRC Daily
USD|CNY|2021-02-19|6.471248797|300000007815001|MRC Daily
USD|CNY|2021-02-20|6.471248797|300000007815001|MRC Daily
USD|CNY|2021-02-21|6.471248797|300000007815001|MRC Daily
CNY|INR|2021-02-15|11.2204|300000007815001|MRC Daily
CNY|INR|2021-02-16|11.2204|300000007815001|MRC Daily
CNY|INR|2021-02-17|11.2204|300000007815001|MRC Daily
CNY|INR|2021-02-18|11.2204|300000007815001|MRC Daily
CNY|INR|2021-02-19|11.2204|300000007815001|MRC Daily
CNY|INR|2021-02-20|11.2204|300000007815001|MRC Daily
CNY|INR|2021-02-21|11.2204|300000007815001|MRC Daily
PLN|INR|2021-02-15|19.4999|300000007815001|MRC Daily
PLN|INR|2021-02-16|19.4999|300000007815001|MRC Daily
PLN|INR|2021-02-17|19.4999|300000007815001|MRC Daily
PLN|INR|2021-02-18|19.4999|300000007815001|MRC Daily
PLN|INR|2021-02-20|19.4999|300000007815001|MRC Daily
PLN|INR|2021-02-21|19.4999|300000007815001|MRC Daily
INR|ZAR|2021-03-21|0.206398349|300000007815001|MRC Daily
SGD|INR|2021-03-15|53.9612|300000007815001|MRC Daily
SGD|INR|2021-03-16|53.9612|300000007815001|MRC Daily
SGD|INR|2021-03-17|53.9612|300000007815001|MRC Daily
SGD|INR|2021-03-18|53.9612|300000007815001|MRC Daily
SGD|INR|2021-03-19|53.9612|300000007815001|MRC Daily
SGD|INR|2021-03-20|53.9612|300000007815001|MRC Daily
SGD|INR|2021-03-21|53.9612|300000007815001|MRC Daily
HKD|INR|2021-03-15|9.3519|300000007815001|MRC Daily
HKD|INR|2021-03-16|9.3519|300000007815001|MRC Daily
HKD|INR|2021-03-17|9.3519|300000007815001|MRC Daily
HKD|INR|2021-03-18|9.3519|300000007815001|MRC Daily
HKD|INR|2021-03-20|9.3519|300000007815001|MRC Daily
HKD|INR|2021-03-21|9.3519|300000007815001|MRC Daily
JPY|INR|2021-03-15|0.6666|300000007815001|MRC Daily
JPY|INR|2021-03-16|0.6666|300000007815001|MRC Daily
JPY|INR|2021-03-17|0.6666|300000007815001|MRC Daily
JPY|INR|2021-03-18|0.6666|300000007815001|MRC Daily
JPY|INR|2021-03-19|0.6666|300000007815001|MRC Daily
ZAR|GBP|2021-02-26|0.04798|300000007815001|MRC Daily
JPY|INR|2021-03-20|0.6666|300000007815001|MRC Daily
JPY|INR|2021-03-21|0.6666|300000007815001|MRC Daily
AED|INR|2021-03-15|19.7637|300000007815001|MRC Daily
AED|INR|2021-03-16|19.7637|300000007815001|MRC Daily
AED|INR|2021-03-17|19.7637|300000007815001|MRC Daily
AED|INR|2021-03-18|19.7637|300000007815001|MRC Daily
AED|INR|2021-03-19|19.7637|300000007815001|MRC Daily
AED|INR|2021-03-20|19.7637|300000007815001|MRC Daily
AED|INR|2021-03-21|19.7637|300000007815001|MRC Daily
GBP|USD|2021-03-15|1.3926|300000007815001|MRC Daily
GBP|USD|2021-03-16|1.3926|300000007815001|MRC Daily
GBP|USD|2021-03-17|1.3926|300000007815001|MRC Daily
GBP|USD|2021-03-18|1.3926|300000007815001|MRC Daily
GBP|USD|2021-03-19|1.3926|300000007815001|MRC Daily
GBP|USD|2021-03-20|1.3926|300000007815001|MRC Daily
GBP|USD|2021-03-21|1.3926|300000007815001|MRC Daily
GBP|EUR|2021-03-15|1.16555072|300000007815001|MRC Daily
GBP|EUR|2021-03-16|1.16555072|300000007815001|MRC Daily
GBP|EUR|2021-03-17|1.16555072|300000007815001|MRC Daily
GBP|EUR|2021-03-18|1.16555072|300000007815001|MRC Daily
GBP|EUR|2021-03-20|1.16555072|300000007815001|MRC Daily
GBP|EUR|2021-03-21|1.16555072|300000007815001|MRC Daily
USD|EUR|2021-03-15|0.836960161|300000007815001|MRC Daily
USD|EUR|2021-03-16|0.836960161|300000007815001|MRC Daily
USD|EUR|2021-03-17|0.836960161|300000007815001|MRC Daily
USD|EUR|2021-03-18|0.836960161|300000007815001|MRC Daily
USD|EUR|2021-03-19|0.836960161|300000007815001|MRC Daily
USD|EUR|2021-03-20|0.836960161|300000007815001|MRC Daily
USD|EUR|2021-03-21|0.836960161|300000007815001|MRC Daily
USD|ZAR|2021-03-15|15.01547988|300000007815001|MRC Daily
USD|ZAR|2021-03-16|15.01547988|300000007815001|MRC Daily
USD|ZAR|2021-03-17|15.01547988|300000007815001|MRC Daily
USD|ZAR|2021-03-18|15.01547988|300000007815001|MRC Daily
USD|ZAR|2021-03-19|15.01547988|300000007815001|MRC Daily
USD|ZAR|2021-03-20|15.01547988|300000007815001|MRC Daily
USD|ZAR|2021-03-21|15.01547988|300000007815001|MRC Daily
USD|SGD|2021-03-15|1.348190922|300000007815001|MRC Daily
USD|SGD|2021-03-16|1.348190922|300000007815001|MRC Daily
USD|SGD|2021-03-17|1.348190922|300000007815001|MRC Daily
USD|SGD|2021-03-18|1.348190922|300000007815001|MRC Daily
USD|SGD|2021-03-19|1.348190922|300000007815001|MRC Daily
USD|SGD|2021-03-20|1.348190922|300000007815001|MRC Daily
USD|SGD|2021-03-21|1.348190922|300000007815001|MRC Daily
USD|AED|2021-03-15|3.680990908|300000007815001|MRC Daily
USD|AED|2021-03-16|3.680990908|300000007815001|MRC Daily
USD|AED|2021-03-17|3.680990908|300000007815001|MRC Daily
USD|AED|2021-03-18|3.680990908|300000007815001|MRC Daily
USD|AED|2021-03-19|3.680990908|300000007815001|MRC Daily
USD|AED|2021-03-20|3.680990908|300000007815001|MRC Daily
USD|AED|2021-03-21|3.680990908|300000007815001|MRC Daily
INR|MXN|2021-03-08|0.292090197|300000007815001|MRC Daily
INR|MXN|2021-03-09|0.292090197|300000007815001|MRC Daily
INR|MXN|2021-03-10|0.292090197|300000007815001|MRC Daily
INR|MXN|2021-03-11|0.292090197|300000007815001|MRC Daily
INR|MXN|2021-03-12|0.292090197|300000007815001|MRC Daily
INR|MXN|2021-03-13|0.292090197|300000007815001|MRC Daily
INR|MXN|2021-03-14|0.292090197|300000007815001|MRC Daily
MXN|USD|2021-03-08|0.04680886|300000007815001|MRC Daily
MXN|USD|2021-03-09|0.04680886|300000007815001|MRC Daily
MXN|USD|2021-03-10|0.04680886|300000007815001|MRC Daily
MXN|USD|2021-03-11|0.04680886|300000007815001|MRC Daily
MXN|USD|2021-03-12|0.04680886|300000007815001|MRC Daily
MXN|USD|2021-03-13|0.04680886|300000007815001|MRC Daily
MXN|USD|2021-03-14|0.04680886|300000007815001|MRC Daily
USD|JPY|2021-03-15|109.14|300000007815001|MRC Daily
USD|JPY|2021-03-16|109.14|300000007815001|MRC Daily
USD|JPY|2021-03-17|109.14|300000007815001|MRC Daily
USD|JPY|2021-03-18|109.14|300000007815001|MRC Daily
USD|JPY|2021-03-19|109.14|300000007815001|MRC Daily
USD|JPY|2021-03-20|109.14|300000007815001|MRC Daily
USD|JPY|2021-03-21|109.14|300000007815001|MRC Daily
USD|CNY|2021-03-15|6.522850149|300000007815001|MRC Daily
USD|CNY|2021-03-17|6.522850149|300000007815001|MRC Daily
USD|CNY|2021-03-18|6.522850149|300000007815001|MRC Daily
USD|CNY|2021-03-19|6.522850149|300000007815001|MRC Daily
AUD|GBP|2021-02-28|0.560182586|300000007815001|MRC Daily
AUD|SGD|2021-02-28|1.037430496|300000007815001|MRC Daily
BDT|GBP|2021-02-28|0.008341348|300000007815001|MRC Daily
CAD|INR|2021-02-28|58.2125|300000007815001|MRC Daily
CAD|USD|2021-02-28|0.792330203|300000007815001|MRC Daily
CHF|INR|2021-02-28|81.2275|300000007815001|MRC Daily
CHF|SGD|2021-02-28|1.468785317|300000007815001|MRC Daily
USD|CHF|2021-02-28|0.904496629|300000007815001|MRC Daily
EUR|PLN|2021-02-28|4.540392457|300000007815001|MRC Daily
SGD|EUR|2021-02-28|0.620800943|300000007815001|MRC Daily
GBP|HKD|2021-02-28|10.81494192|300000007815001|MRC Daily
PLN|GBP|2021-02-28|0.191568824|300000007815001|MRC Daily
SGD|GBP|2021-02-28|0.539971196|300000007815001|MRC Daily
MYR|INR|2021-02-28|18.1375|300000007815001|MRC Daily
LKR|USD|2021-02-28|0.005117735|300000007815001|MRC Daily
LKR|GBP|2021-02-28|0.003671248|300000007815001|MRC Daily
SGD|JPY|2021-02-28|80.13113091|300000007815001|MRC Daily
SGD|MYR|2021-02-28|3.049069607|300000007815001|MRC Daily
CHF|GBP|2021-02-28|0.793101765|300000007815001|MRC Daily
HKD|SGD|2021-02-28|0.171239998|300000007815001|MRC Daily
CHF|EUR|2021-02-28|0.911823309|300000007815001|MRC Daily
EUR|HKD|2021-02-28|9.406810982|300000007815001|MRC Daily
CNY|AUD|2021-02-28|0.197699246|300000007815001|MRC Daily
SAR|INR|2021-02-28|19.59|300000007815001|MRC Daily
SAR|AED|2021-02-28|0.979377578|300000007815001|MRC Daily
SAR|USD|2021-02-28|0.266639445|300000007815001|MRC Daily
KES|INR|2021-02-28|0.6691|300000007815001|MRC Daily
KES|USD|2021-02-28|0.009184423|300000007815001|MRC Daily
ZAR|KES|2021-02-28|7.194|300000007815001|MRC Daily
NZD|INR|2021-02-28|53.78|300000007815001|MRC Daily
IDR|INR|2021-02-28|0.0052|300000007815001|MRC Daily
THB|INR|2021-02-28|2.42|300000007815001|MRC Daily
CZK|GBP|2021-02-28|0.03311934|300000007815001|MRC Daily
INR|MXN|2021-02-28|0.283687943|300000007815001|MRC Daily
DKK|INR|2021-02-28|11.98|300000007815001|MRC Daily
DKK|USD|2021-02-28|0.163059752|300000007815001|MRC Daily
SEK|INR|2021-02-28|8.8125|300000007815001|MRC Daily
CZK|INR|2021-02-28|3.392|300000007815001|MRC Daily
EUR|KES|2021-02-28|133.1328227|300000007815001|MRC Daily
KRW|USD|2021-02-28|0.00089|300000007815001|MRC Daily
KRW|EUR|2021-02-28|0.00074|300000007815001|MRC Daily
MXN|USD|2021-02-28|0.047979|300000007815001|MRC Daily
ZAR|GBP|2021-02-28|0.047989845|300000007815001|MRC Daily
PHP|INR|2021-02-28|1.512|300000007815001|MRC Daily
USD|INR|2021-02-22|72.56|300000007815001|MRC Daily
USD|INR|2021-02-23|72.56|300000007815001|MRC Daily
USD|INR|2021-02-24|72.56|300000007815001|MRC Daily
USD|INR|2021-02-25|72.56|300000007815001|MRC Daily
USD|INR|2021-02-26|72.56|300000007815001|MRC Daily
USD|INR|2021-02-27|72.56|300000007815001|MRC Daily
GBP|INR|2021-02-22|101.758|300000007815001|MRC Daily
GBP|INR|2021-02-23|101.758|300000007815001|MRC Daily
GBP|INR|2021-02-24|101.758|300000007815001|MRC Daily
GBP|INR|2021-02-25|101.758|300000007815001|MRC Daily
GBP|INR|2021-02-26|101.758|300000007815001|MRC Daily
GBP|INR|2021-02-27|101.758|300000007815001|MRC Daily
EUR|INR|2021-02-22|87.964|300000007815001|MRC Daily
EUR|INR|2021-02-23|87.964|300000007815001|MRC Daily
EUR|INR|2021-02-24|87.964|300000007815001|MRC Daily
EUR|INR|2021-02-25|87.964|300000007815001|MRC Daily
EUR|INR|2021-02-26|87.964|300000007815001|MRC Daily
EUR|INR|2021-02-27|87.964|300000007815001|MRC Daily
AUD|INR|2021-02-22|57.156|300000007815001|MRC Daily
AUD|INR|2021-02-23|57.156|300000007815001|MRC Daily
AUD|INR|2021-02-24|57.156|300000007815001|MRC Daily
AUD|INR|2021-02-25|57.156|300000007815001|MRC Daily
AUD|INR|2021-02-26|57.156|300000007815001|MRC Daily
AUD|INR|2021-02-27|57.156|300000007815001|MRC Daily
INR|ZAR|2021-02-22|0.202987983|300000007815001|MRC Daily
INR|ZAR|2021-02-23|0.202987983|300000007815001|MRC Daily
INR|ZAR|2021-02-24|0.202987983|300000007815001|MRC Daily
INR|ZAR|2021-02-26|0.202987983|300000007815001|MRC Daily
INR|ZAR|2021-02-27|0.202987983|300000007815001|MRC Daily
SGD|INR|2021-02-22|54.6739|300000007815001|MRC Daily
SGD|INR|2021-02-23|54.6739|300000007815001|MRC Daily
SGD|INR|2021-02-24|54.6739|300000007815001|MRC Daily
SGD|INR|2021-02-25|54.6739|300000007815001|MRC Daily
SGD|INR|2021-02-26|54.6739|300000007815001|MRC Daily
SGD|INR|2021-02-27|54.6739|300000007815001|MRC Daily
HKD|INR|2021-02-22|9.3435|300000007815001|MRC Daily
HKD|INR|2021-02-23|9.3435|300000007815001|MRC Daily
HKD|INR|2021-02-24|9.3435|300000007815001|MRC Daily
HKD|INR|2021-02-25|9.3435|300000007815001|MRC Daily
HKD|INR|2021-02-26|9.3435|300000007815001|MRC Daily
JPY|INR|2021-02-22|0.687|300000007815001|MRC Daily
JPY|INR|2021-02-23|0.687|300000007815001|MRC Daily
JPY|INR|2021-02-24|0.687|300000007815001|MRC Daily
JPY|INR|2021-02-25|0.687|300000007815001|MRC Daily
JPY|INR|2021-02-26|0.687|300000007815001|MRC Daily
JPY|INR|2021-02-27|0.687|300000007815001|MRC Daily
GBP|USD|2021-02-23|1.4024|300000007815001|MRC Daily
THB|INR|2021-02-09|2.4084|300000007815001|MRC Daily
THB|INR|2021-02-10|2.4084|300000007815001|MRC Daily
THB|INR|2021-02-11|2.4084|300000007815001|MRC Daily
THB|INR|2021-02-12|2.4084|300000007815001|MRC Daily
THB|INR|2021-02-13|2.4084|300000007815001|MRC Daily
THB|INR|2021-02-14|2.4084|300000007815001|MRC Daily
NZD|INR|2021-02-08|52.2972|300000007815001|MRC Daily
NZD|INR|2021-02-09|52.2972|300000007815001|MRC Daily
NZD|INR|2021-02-10|52.2972|300000007815001|MRC Daily
NZD|INR|2021-02-11|52.2972|300000007815001|MRC Daily
NZD|INR|2021-02-12|52.2972|300000007815001|MRC Daily
NZD|INR|2021-02-13|52.2972|300000007815001|MRC Daily
NZD|INR|2021-02-14|52.2972|300000007815001|MRC Daily
CHF|GBP|2021-02-08|0.8093|300000007815001|MRC Daily
CHF|GBP|2021-02-09|0.8093|300000007815001|MRC Daily
CHF|GBP|2021-02-10|0.8093|300000007815001|MRC Daily
CHF|GBP|2021-02-11|0.8093|300000007815001|MRC Daily
CHF|GBP|2021-02-12|0.8093|300000007815001|MRC Daily
CHF|GBP|2021-02-13|0.8093|300000007815001|MRC Daily
CHF|GBP|2021-02-14|0.8093|300000007815001|MRC Daily
SGD|GBP|2021-02-08|0.5443|300000007815001|MRC Daily
SGD|GBP|2021-02-09|0.5443|300000007815001|MRC Daily
SGD|GBP|2021-02-10|0.5443|300000007815001|MRC Daily
SGD|GBP|2021-02-11|0.5443|300000007815001|MRC Daily
SGD|GBP|2021-02-12|0.5443|300000007815001|MRC Daily
SGD|GBP|2021-02-13|0.5443|300000007815001|MRC Daily
SGD|GBP|2021-02-14|0.5443|300000007815001|MRC Daily
PLN|GBP|2021-02-08|0.1939|300000007815001|MRC Daily
PLN|GBP|2021-02-09|0.1939|300000007815001|MRC Daily
PLN|GBP|2021-02-10|0.1939|300000007815001|MRC Daily
PLN|GBP|2021-02-11|0.1939|300000007815001|MRC Daily
PLN|GBP|2021-02-12|0.1939|300000007815001|MRC Daily
PLN|GBP|2021-02-13|0.1939|300000007815001|MRC Daily
PLN|GBP|2021-02-14|0.1939|300000007815001|MRC Daily
CHF|EUR|2021-02-08|0.92344|300000007815001|MRC Daily
CHF|EUR|2021-02-10|0.92344|300000007815001|MRC Daily
CHF|EUR|2021-02-11|0.92344|300000007815001|MRC Daily
CHF|EUR|2021-02-12|0.92344|300000007815001|MRC Daily
CHF|EUR|2021-02-13|0.92344|300000007815001|MRC Daily
CHF|EUR|2021-02-14|0.92344|300000007815001|MRC Daily
CAD|INR|2021-02-08|56.9704|300000007815001|MRC Daily
CAD|INR|2021-02-10|56.9704|300000007815001|MRC Daily
CAD|INR|2021-02-11|56.9704|300000007815001|MRC Daily
CAD|INR|2021-02-12|56.9704|300000007815001|MRC Daily
CAD|INR|2021-02-13|56.9704|300000007815001|MRC Daily
CAD|INR|2021-02-14|56.9704|300000007815001|MRC Daily
CAD|USD|2021-02-08|0.78202|300000007815001|MRC Daily
CAD|USD|2021-02-09|0.78202|300000007815001|MRC Daily
CAD|USD|2021-02-10|0.78202|300000007815001|MRC Daily
CAD|USD|2021-02-11|0.78202|300000007815001|MRC Daily
CAD|USD|2021-02-12|0.78202|300000007815001|MRC Daily
CAD|USD|2021-02-13|0.78202|300000007815001|MRC Daily
CAD|USD|2021-02-14|0.78202|300000007815001|MRC Daily
USD|CHF|2021-02-08|0.899766061|300000007815001|MRC Daily
USD|CHF|2021-02-09|0.899766061|300000007815001|MRC Daily
USD|CHF|2021-02-10|0.899766061|300000007815001|MRC Daily
USD|CHF|2021-02-11|0.899766061|300000007815001|MRC Daily
USD|CHF|2021-02-12|0.899766061|300000007815001|MRC Daily
USD|CHF|2021-02-13|0.899766061|300000007815001|MRC Daily
USD|CHF|2021-02-14|0.899766061|300000007815001|MRC Daily
CZK|INR|2021-02-08|3.3888|300000007815001|MRC Daily
CZK|INR|2021-02-09|3.3888|300000007815001|MRC Daily
CZK|INR|2021-02-10|3.3888|300000007815001|MRC Daily
CZK|INR|2021-02-11|3.3888|300000007815001|MRC Daily
CZK|INR|2021-02-12|3.3888|300000007815001|MRC Daily
CZK|INR|2021-02-13|3.3888|300000007815001|MRC Daily
CZK|INR|2021-02-14|3.3888|300000007815001|MRC Daily
CZK|GBP|2021-02-08|0.03387|300000007815001|MRC Daily
CZK|GBP|2021-02-09|0.03387|300000007815001|MRC Daily
CZK|GBP|2021-02-10|0.03387|300000007815001|MRC Daily
CZK|GBP|2021-02-11|0.03387|300000007815001|MRC Daily
CZK|GBP|2021-02-12|0.03387|300000007815001|MRC Daily
CZK|GBP|2021-02-13|0.03387|300000007815001|MRC Daily
CZK|GBP|2021-02-14|0.03387|300000007815001|MRC Daily
INR|MXN|2021-02-08|0.27677064|300000007815001|MRC Daily
INR|MXN|2021-02-09|0.27677064|300000007815001|MRC Daily
INR|MXN|2021-02-10|0.27677064|300000007815001|MRC Daily
INR|MXN|2021-02-11|0.27677064|300000007815001|MRC Daily
INR|MXN|2021-02-12|0.27677064|300000007815001|MRC Daily
INR|MXN|2021-02-13|0.27677064|300000007815001|MRC Daily
INR|MXN|2021-02-14|0.27677064|300000007815001|MRC Daily
MXN|USD|2021-02-08|0.049596431|300000007815001|MRC Daily
MXN|USD|2021-02-09|0.049596431|300000007815001|MRC Daily
MXN|USD|2021-02-10|0.049596431|300000007815001|MRC Daily
MXN|USD|2021-02-11|0.049596431|300000007815001|MRC Daily
MXN|USD|2021-02-13|0.049596431|300000007815001|MRC Daily
MXN|USD|2021-02-14|0.049596431|300000007815001|MRC Daily
AED|INR|2021-02-22|19.7205|300000007815001|MRC Daily
AED|INR|2021-02-23|19.7205|300000007815001|MRC Daily
AED|INR|2021-02-24|19.7205|300000007815001|MRC Daily
AED|INR|2021-02-25|19.7205|300000007815001|MRC Daily
AED|INR|2021-02-26|19.7205|300000007815001|MRC Daily
GBP|USD|2021-02-22|1.4024|300000007815001|MRC Daily
PLN|USD|2021-02-15|0.268556673|300000007815001|MRC Daily
PLN|USD|2021-02-16|0.268556673|300000007815001|MRC Daily
PLN|USD|2021-02-17|0.268556673|300000007815001|MRC Daily
PLN|USD|2021-02-18|0.268556673|300000007815001|MRC Daily
PLN|USD|2021-02-19|0.268556673|300000007815001|MRC Daily
PLN|USD|2021-02-20|0.268556673|300000007815001|MRC Daily
PLN|USD|2021-02-21|0.268556673|300000007815001|MRC Daily
BDT|INR|2021-02-15|0.8408|300000007815001|MRC Daily
BDT|INR|2021-02-16|0.8408|300000007815001|MRC Daily
BDT|INR|2021-02-17|0.8408|300000007815001|MRC Daily
BDT|INR|2021-02-18|0.8408|300000007815001|MRC Daily
BDT|INR|2021-02-19|0.8408|300000007815001|MRC Daily
BDT|INR|2021-02-20|0.8408|300000007815001|MRC Daily
BDT|INR|2021-02-21|0.8408|300000007815001|MRC Daily
AUD|USD|2021-02-15|0.778|300000007815001|MRC Daily
AUD|USD|2021-02-16|0.778|300000007815001|MRC Daily
AUD|USD|2021-02-17|0.778|300000007815001|MRC Daily
AUD|USD|2021-02-18|0.778|300000007815001|MRC Daily
AUD|USD|2021-02-19|0.778|300000007815001|MRC Daily
AUD|USD|2021-02-20|0.778|300000007815001|MRC Daily
AUD|USD|2021-02-21|0.778|300000007815001|MRC Daily
LKR|INR|2021-02-15|0.3703|300000007815001|MRC Daily
LKR|INR|2021-02-17|0.3703|300000007815001|MRC Daily
LKR|INR|2021-02-18|0.3703|300000007815001|MRC Daily
LKR|INR|2021-02-19|0.3703|300000007815001|MRC Daily
LKR|INR|2021-02-20|0.3703|300000007815001|MRC Daily
LKR|INR|2021-02-21|0.3703|300000007815001|MRC Daily
KES|INR|2021-02-15|0.6571|300000007815001|MRC Daily
KES|INR|2021-02-16|0.6571|300000007815001|MRC Daily
KES|INR|2021-02-17|0.6571|300000007815001|MRC Daily
KES|INR|2021-02-18|0.6571|300000007815001|MRC Daily
KES|INR|2021-02-19|0.6571|300000007815001|MRC Daily
KES|INR|2021-02-20|0.6571|300000007815001|MRC Daily
KES|INR|2021-02-21|0.6571|300000007815001|MRC Daily
CHF|INR|2021-02-15|81.4927|300000007815001|MRC Daily
CHF|INR|2021-02-16|81.4927|300000007815001|MRC Daily
CHF|INR|2021-02-17|81.4927|300000007815001|MRC Daily
CHF|INR|2021-02-18|81.4927|300000007815001|MRC Daily
CHF|INR|2021-02-19|81.4927|300000007815001|MRC Daily
CHF|INR|2021-02-20|81.4927|300000007815001|MRC Daily
CHF|INR|2021-02-21|81.4927|300000007815001|MRC Daily
EUR|AUD|2021-02-16|1.5595|300000007815001|MRC Daily
EUR|AUD|2021-02-17|1.5595|300000007815001|MRC Daily
EUR|AUD|2021-02-18|1.5595|300000007815001|MRC Daily
EUR|AUD|2021-02-19|1.5595|300000007815001|MRC Daily
EUR|AUD|2021-02-20|1.5595|300000007815001|MRC Daily
EUR|AUD|2021-02-21|1.5595|300000007815001|MRC Daily
MYR|INR|2021-02-15|17.922|300000007815001|MRC Daily
MYR|INR|2021-02-16|17.922|300000007815001|MRC Daily
MYR|INR|2021-02-17|17.922|300000007815001|MRC Daily
MYR|INR|2021-02-18|17.922|300000007815001|MRC Daily
MYR|INR|2021-02-19|17.922|300000007815001|MRC Daily
